"Your cart","عربة التسوق"
"YOUR CART","عربة التسوق"
"View and edit cart","عرض وتعديل السلة"
"VIEW AND EDIT CART","عرض وتعديل السلة"
"Move all to wish list","نقل الكل إلى قائمة الرغبات"
"MOVE ALL TO WISH LIST","نقل الكل إلى قائمة الرغبات"
"Sorry, no quotes are available for this order at this time","عذرًا، لا توجد اوقات متاحة للتوصيل لهذا الطلب في الوقت الحالي"
"CART SUMMARY","ملخص العربة"
"Cart Summary","ملخص العربة"
"LATEST UPDATED ITEM","العنصر المضاف حديثاً"
"Latest updated item","العنصر المضاف حديثاً"
"Keep Shopping","تابع التسوق"
"KEEP SHOPPING","تابع التسوق"
"QUICK OVERVIEW","نظرة سريعة"
"Quick Overview","نظرة سريعة"
